,name,transcripts,condition,location,meaning,function,process
0,YGR131W,7.37917393310322,IFFABF,membrane,E1B1 ethanol,molecular_function,protein ion  
1,YPR047W,24.86078836985966,IFFABF,membrane,E1B1 ethanol,molecular_function,protein ion  
2,YNL003C,5.8587152911150415,SAASCC,membrane,pbs2 galactose,molecular_function,protein ion  
3,YCR020C,30.63109666673009,SAASCC,membrane,pbs2 galactose,molecular_function,protein ion  
4,YBR160W,12.130322714923096,IFFAFF,membrane,G2A1 glucose,molecular_function,protein ion  
5,YPR125W,18.879524826985573,IFFAFF,membrane,G2A1 glucose,molecular_function,protein ion  
6,YOL034W,12.67974761450056,IFFAFA,membrane,G1A1 glucose,molecular_function,protein ion  
7,YPL001W,25.652104789335745,IFFAFA,membrane,G1A1 glucose,molecular_function,protein ion  
8,YBL008W,11.276427112396982,INICIA,membrane,YB210 biofuel generation,molecular_function,protein ion  
9,YNL159C,14.498263430224693,INICIA,membrane,YB210 biofuel generation,molecular_function,protein ion  
10,YIL004C,18.484635129855945,INICIF,membrane,YB211 biofuel generation,molecular_function,protein ion  
11,YLR181C,38.07283056597194,INICIF,membrane,YB211 biofuel generation,molecular_function,protein ion  
12,YJR140C,2.3772593052921147,SAABQI,membrane,30 deg temperature,molecular_function,protein ion  
13,YJL012C,11.117183221807242,SAABQI,membrane,30 deg temperature,molecular_function,protein ion  
14,YOR033C,22.251591491167854,FFNAAA,membrane,Strain6 phenol lysis,molecular_function,protein ion  
15,YIL023C,9.655426263788696,FFNAAA,membrane,Strain6 phenol lysis,molecular_function,protein ion  
16,YGL171W,14.731754746137232,FFNARN,membrane,Strain6 phenol lysis,molecular_function,protein ion  
17,YGL163C,6.439045120828194,FFNARN,membrane,Strain6 phenol lysis,molecular_function,protein ion  
18,YMR266W,19.091838347685545,FFNAAR,membrane,Strain6 phenol lysis,molecular_function,protein ion  
19,YNL305C,7.691024926792753,FFNAAR,membrane,Strain6 phenol lysis,molecular_function,protein ion  
20,YBR043C,4.405163046875964,IFAAAR,membrane,DDY3630 strain W303,molecular_function,protein ion  
21,YAR042W,12.815019772730077,IFAAAR,membrane,DDY3630 strain W303,molecular_function,protein ion  
22,YLR011W,0.4675892712516797,AFIINC,membrane,itc1 itc1-1_dUTP,molecular_function,protein ion  
23,YBR152W,2.25719800821092,AFIINC,membrane,itc1 itc1-1_dUTP,molecular_function,protein ion  
